text,category,actor,vector,team_or_player,event_type,location,severity,clean_text
phishing scam targeting corporate accounts,DDoS,Lazarus Group,Web,,,North Korea,4,malware actors leveraging advanced evasion to remain undetected
phishing scam targeting corporate accounts,Phishing,Anonymous,Email,,,Global,1,ransomware damage amplified by encrypted shared network folders
ransomware attack through network vulnerability,Ransomware,Lazarus Group,Web,,,Global,1,phishing emails prompting password resets causing credential theft
phishing scam targeting corporate accounts,Ransomware,Anonymous,Email,,,North Korea,5,ddos forces overwhelming authentication servers causing widespread outages
Last-minute goal gives Barcelona a 2-1 win over Real Madrid,Football,,,FC Barcelona,Match_Result,Spain - La Liga,,barcelona beats real madrid last minute goal la liga spain
Cristiano Ronaldo scores hat-trick in Saudi Pro League clash,Football,,,Cristiano Ronaldo,Player_Performance,Saudi Arabia - SPL,,cristiano ronaldo hat trick saudi pro league match
Star striker suffers ACL injury and will miss the rest of the season,Football,,,Unnamed Striker,Injury,Europe,,striker acl injury out for season
Al Ahly signs young Egyptian winger on a five-year contract,Football,,,Al Ahly SC,Transfer,Egypt - Premier League,,al ahly signs young winger long contract
Zamalek announces new head coach ahead of CAF Champions League campaign,Football,,,Zamalek SC,Management_Change,Egypt - Cairo,,zamalek new head coach before caf champions league
Liverpool beats Manchester City 3-0 in dominant home performance,Football,,,Liverpool FC,Match_Result,England - Premier League,,liverpool win 3 0 manchester city dominant
Golden State Warriors defeat Lakers in overtime thriller,Basketball,,,Golden State Warriors,Match_Result,USA - NBA,,warriors beat lakers overtime thriller nba
Star point guard records triple-double in season opener,Basketball,,,Star Point Guard,Player_Performance,USA - NBA,,point guard triple double opener nba
Chicago Bulls trade veteran center to Miami Heat,Basketball,,,Chicago Bulls,Transfer,USA - NBA,,bulls trade veteran center miami heat
Egypt national handball team qualifies for World Championship quarterfinals,Handball,,,Egypt National Team,Tournament_Progress,World Championship,,egypt handball team reach quarterfinals
World record broken in men's 100m sprint at Diamond League event,Athletics,,,Unknown Sprinter,Record_Break,Diamond League,,world record broken 100m sprint diamond league
Marathon runner collapses near finish line but still wins the race,Athletics,,,Marathon Runner,Match_Result,International Marathon,,marathon runner collapses but wins race
Rafael Nadal announces comeback for next Grand Slam tournament,Tennis,,,Rafael Nadal,Injury_Return,ATP Tour,,rafael nadal comeback next grand slam
Unseeded player upsets world number one in straight sets,Tennis,,,Unseeded Player,Upset,WTA / ATP,,unseeded player beats world number one upset
Top seed withdraws from tournament due to shoulder injury,Tennis,,,Top Seed,Injury,International Tournament,,top seed withdraws tournament shoulder injury
Real Madrid completes record-breaking transfer for teenage midfielder,Football,,,Real Madrid,Transfer,Spain - La Liga,,real madrid record transfer teenage midfielder
National basketball team secures Olympic qualification with decisive win,Basketball,,,National Team,Tournament_Progress,Olympic Qualifiers,,national basketball team qualify olympics
Coach fired after team's fifth consecutive defeat,Football,,,Club Management,Management_Change,Europe,,coach fired after five straight defeats
Star swimmer wins three gold medals at continental championship,Swimming,,,Star Swimmer,Player_Performance,Continental Championship,,swimmer wins three gold medals continental
Volleyball club claims national league title after dramatic final set,Volleyball,,,Volleyball Club,Match_Result,National League,,volleyball club wins national title final set
Rival fans clash outside stadium after derby match,Football,,,Supporters,Fan_Incident,Local Derby,,rival fans clash outside stadium derby
VAR overturns late penalty decision in international match,Football,,,VAR,Refereeing,International Match,,var overturns late penalty decision
Teenage sprinter sets new national junior record in 200m,Athletics,,,Teenage Sprinter,Record_Break,National Championship,,teen sprinter national junior record 200m
Tennis doubles pair wins first Grand Slam title together,Tennis,,,Doubles Pair,Match_Result,Grand Slam,,doubles pair win first grand slam title
Star forward tests positive for COVID-19 and will miss upcoming matches,Football,,,Star Forward,Health_Issue,Club/International,,star forward positive covid 19 misses matches
National team captain announces retirement from international football,Football,,,National Team Captain,Retirement,International,,national team captain retires international football
Esports team wins regional League of Legends championship,Esports,,,Esports Team,Match_Result,Regional Championship,,esports team wins regional lol championship
Cyclist completes mountain stage in record time at Tour event,Cycling,,,Cyclist,Record_Break,Tour Event,,cyclist record time mountain stage tour
Gymnast earns perfect score on floor routine in world finals,Gymnastics,,,Gymnast,Player_Performance,World Finals,,gymnast perfect score floor routine world finals
Football academy graduates make professional debuts in top division,Football,,,Youth Academy,Development,Top Division,,academy players make professional debut top division
Apple,Fruit,,,,,USA,,A crisp sweet and versatile fruit often recommended for its high fiber content and natural sugars.
Salmon,Protein,,,,,Norway,,A fatty fish rich in heart-healthy Omega-3 acids essential for brain function and reducing inflammation.
Spinach,Vegetable,,,,,Local Farm,,A leafy green superfood packed with iron Vitamin K and Vitamin A excellent for bone health and vision.
Brown Rice,Grain,,,,,India,,A whole grain with a nutty flavor providing complex carbohydrates and sustained energy release.
Chicken Breast,Protein,,,,,Brazil,,A very lean source of high-quality protein widely used in fitness diets for muscle building and repair.
Broccoli,Vegetable,,,,,Mexico,,A cruciferous vegetable known for its high levels of Vitamin C Vitamin K and powerful antioxidant properties.
Oatmeal,Grain,,,,,Canada,,A breakfast staple particularly beneficial for lowering bad cholesterol (LDL) due to its soluble fiber content.
Almonds,Nut,,,,,California,,A nutrient-dense nut providing healthy monounsaturated fats Vitamin E great for snacking.
Greek Yogurt,Dairy,,,,,Greece,,A strained yogurt that is significantly higher in protein than regular yogurt promoting satiety and gut health.
Sweet Potato,Vegetable,,,,,Peru,,A vibrant root vegetable loaded with beta-carotene (precursor to Vitamin A) and complex carbohydrates.
Lentils,Legume,,,,,Turkey,,An inexpensive and highly nutritious source of plant-based protein and dietary fiber excellent for stews and soups.
Avocado,Fruit,,,,,Mexico,,A unique fruit prized for its healthy fats particularly oleic acid and its creamy texture often used in salads
Quinoa,Grain,,,,,Andes,,A complete protein source meaning it contains all nine essential amino acids
Blueberries,Fruit,,,,,USA,,Small potent berries that are among the highest in antioxidants helping to combat free radicals and support cognitive function.
Tuna,Protein,,,,,Pacific Ocean,,A popular fish whether canned or fresh offering a substantial amount of protein and B vitamins but should be consumed in moderation due to mercury.
Carrots,Vegetable,,,,,Netherlands,,A crunchy sweet root vegetable famous for its high beta-carotene content which is vital for good eyesight.
Whole Wheat Bread,Grain,,,,,Germany,,A healthier alternative to white bread retaining the bran and germ which provides more fiber and essential nutrients.
Walnuts,Nut,,,,,China,,A distinctive nut that resembles a brain known for its high concentration of Omega-3 fatty acids beneficial for brain and heart health.
Cottage Cheese,Dairy,,,,,Poland,,A fresh cheese curd product that is low in fat and a fantastic source of casein protein which is slow-digesting.
Asparagus,Vegetable,,,,,France,,A delicate spring vegetable that is a good source of folate and vitamins often lightly steamed or roasted.
Black Beans,Legume,,,,,Cuba,,A staple in Latin American cuisine providing a rich source of fiber and protein
Orange,Fruit,,,,,Spain,,A classic citrus fruit renowned for its extremely high Vitamin C content which supports the immune system.
Shrimp,Protein,,,,,Thailand,,A low-calorie shellfish that is a quick-cooking source of protein and several important minerals like selenium.
Kale,Vegetable,,,,,Portugal,,A dark leafy green superfood that is incredibly nutrient-dense providing massive amounts of Vitamin K and C.
Barley,Grain,,,,,Ethiopia,,A versatile cereal grain with a chewy texture commonly used in soups stews and as a side dish rich in fiber.
Pistachios,Nut,,,,,Iran,,A vibrant green nut that is a good source of protein and fiber often enjoyed as a salty crunchy snack.
Kefir,Dairy,,,,,Caucasus,,A fermented milk drink similar to a thin yogurt packed with probiotics that are beneficial for a healthy gut microbiome.
Bell Pepper,Vegetable,,,,,Hungary,,A sweet and crunchy vegetable especially the red variety which contains more Vitamin C than an orange.
Chickpeas,Legume,,,,,Middle East,,Also known as garbanzo beans they are the main ingredient in hummus and are a great source of protein and fiber.
Watermelon,Fruit,,,,,Africa,,A highly hydrating fruit composed of about 90% water and a good source of the antioxidant lycopene.
